timestamp,component,hardware,sensor_type,value,min,max
2026-05-23T12:46:26,Power On Count,Sensor,,28.0,0.0,28.0
2026-05-23T12:46:26,Power On Hours,Sensor,,16.0,0.0,16.0
2026-05-23T12:46:26,Data Read,Sensor,,369.0,0.0,369.0
2026-05-23T12:46:26,Data Written,Sensor,,527.0,0.0,527.0
2026-05-23T12:46:26,Free Space,Sensor,,801.0,801.0,802.1
2026-05-23T12:46:26,Total Space,Sensor,,1000.2,1000.2,1000.2
2026-05-23T12:46:26,Read Rate,Sensor,,68.3,0.0,785.4
2026-05-23T12:46:26,Write Rate,Sensor,,48.4,0.0,286.1
2026-05-23T12:46:26,Network Utilization,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,Data Uploaded,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Data Downloaded,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Upload Speed,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Download Speed,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Network Utilization,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,Data Uploaded,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Data Downloaded,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Upload Speed,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Download Speed,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Network Utilization,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,Data Uploaded,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Data Downloaded,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Upload Speed,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Download Speed,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Network Utilization,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,Data Uploaded,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Data Downloaded,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Upload Speed,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Download Speed,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Network Utilization,Sensor,Load,0.0,0.0,26.1
2026-05-23T12:46:26,Data Uploaded,Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,Data Downloaded,Sensor,,0.3,0.0,0.3
2026-05-23T12:46:26,Upload Speed,Sensor,,0.5,0.0,1.4
2026-05-23T12:46:26,Download Speed,Sensor,,0.7,0.0,18.1
